Date,daily_new_cases
3/12/2020,0.0
3/13/2020,0.0
3/14/2020,0.0
3/15/2020,0.0
3/16/2020,0.0
3/17/2020,7.0
3/18/2020,0.0
3/19/2020,0.0
3/20/2020,16.0
3/21/2020,8.0
3/22/2020,12.0
3/23/2020,27.0
3/24/2020,34.0
3/25/2020,51.0
3/26/2020,96.0
3/27/2020,47.0
3/28/2020,104.0
3/29/2020,77.0
3/30/2020,122.0
3/31/2020,176.0
4/1/2020,169.0
4/2/2020,163.0
4/3/2020,154.0
4/4/2020,66.0
4/5/2020,129.0
4/6/2020,165.0
4/7/2020,104.0
4/8/2020,75.0
4/9/2020,70.0
4/10/2020,41.0
4/11/2020,45.0
4/12/2020,88.0
4/13/2020,77.0
4/14/2020,60.0
4/15/2020,55.0
4/16/2020,50.0
4/17/2020,80.0
4/18/2020,62.0
4/19/2020,35.0
4/20/2020,78.0
4/21/2020,48.0
4/22/2020,36.0
4/23/2020,44.0
4/24/2020,36.0
4/25/2020,37.0
4/26/2020,10.0
4/27/2020,15.0
4/28/2020,19.0
4/29/2020,5.0
4/30/2020,15.0
5/1/2020,16.0
5/2/2020,4.0
5/3/2020,5.0
5/4/2020,5.0
5/5/2020,5.0
5/6/2020,7.0
5/7/2020,17.0
5/8/2020,1.0
5/9/2020,1.0
5/10/2020,2.0
5/11/2020,7.0
5/12/2020,6.0
5/13/2020,1.0
5/14/2020,4.0
5/15/2020,0.0
5/16/2020,1.0
5/17/2020,0.0
5/18/2020,1.0
5/19/2020,0.0
5/20/2020,1.0
5/21/2020,0.0
5/22/2020,2.0
5/23/2020,0.0
5/24/2020,0.0
5/25/2020,0.0
5/26/2020,4.0
5/27/2020,2.0
5/28/2020,3.0
5/29/2020,1.0
5/30/2020,1.0
5/31/2020,0.0
6/1/2020,6.0
6/2/2020,6.0
6/3/2020,6.0
6/4/2020,5.0
6/5/2020,8.0
6/6/2020,2.0
6/7/2020,7.0
6/8/2020,13.0
6/9/2020,13.0
6/10/2020,19.0
6/11/2020,19.0
6/12/2020,15.0
6/13/2020,5.0
6/14/2020,7.0
6/15/2020,18.0
