Date,daily_new_cases
3/12/2020,0.0
3/13/2020,7.0
3/14/2020,0.0
3/15/2020,0.0
3/16/2020,0.0
3/17/2020,0.0
3/18/2020,0.0
3/19/2020,0.0
3/20/2020,0.0
3/21/2020,10.0
3/22/2020,5.0
3/23/2020,2.0
3/24/2020,8.0
3/25/2020,9.0
3/26/2020,9.0
3/27/2020,7.0
3/28/2020,9.0
3/29/2020,6.0
3/30/2020,8.0
3/31/2020,7.0
4/1/2020,4.0
4/2/2020,13.0
4/3/2020,6.0
4/4/2020,6.0
4/5/2020,5.0
4/6/2020,7.0
4/7/2020,1.0
4/8/2020,4.0
4/9/2020,6.0
4/10/2020,3.0
4/11/2020,4.0
4/12/2020,3.0
4/13/2020,3.0
4/14/2020,1.0
4/15/2020,1.0
4/16/2020,3.0
4/17/2020,1.0
4/18/2020,1.0
4/19/2020,3.0
4/20/2020,2.0
4/21/2020,1.0
4/22/2020,0.0
4/23/2020,3.0
4/24/2020,0.0
4/25/2020,0.0
4/26/2020,0.0
4/27/2020,1.0
4/28/2020,2.0
4/29/2020,0.0
4/30/2020,0.0
5/1/2020,0.0
5/2/2020,0.0
5/3/2020,0.0
5/4/2020,0.0
5/5/2020,1.0
5/6/2020,1.0
5/7/2020,1.0
5/8/2020,0.0
5/9/2020,0.0
5/10/2020,2.0
5/11/2020,0.0
5/12/2020,0.0
5/13/2020,0.0
5/14/2020,0.0
5/15/2020,0.0
5/16/2020,0.0
5/17/2020,0.0
5/18/2020,0.0
5/19/2020,0.0
5/20/2020,0.0
5/21/2020,0.0
5/22/2020,0.0
5/23/2020,0.0
5/24/2020,0.0
5/25/2020,0.0
5/26/2020,2.0
5/27/2020,0.0
5/28/2020,4.0
5/29/2020,0.0
5/30/2020,1.0
5/31/2020,0.0
6/1/2020,2.0
6/2/2020,3.0
6/3/2020,4.0
6/4/2020,0.0
6/5/2020,1.0
6/6/2020,3.0
6/7/2020,9.0
6/8/2020,0.0
6/9/2020,3.0
6/10/2020,9.0
6/11/2020,4.0
6/12/2020,7.0
6/13/2020,4.0
6/14/2020,4.0
6/15/2020,1.0
6/16/2020,8.0
6/17/2020,6.0
6/18/2020,8.0
6/19/2020,12.0
6/20/2020,0.0
6/21/2020,3.0
6/22/2020,7.0
6/23/2020,8.0
6/24/2020,11.0
6/25/2020,6.0
6/26/2020,10.0
6/27/2020,4.0
6/28/2020,11.0
6/29/2020,15.0
6/30/2020,12.0
7/1/2020,28.0
7/2/2020,16.0
7/3/2020,26.0
7/4/2020,15.0
7/5/2020,17.0
7/6/2020,13.0
7/7/2020,13.0
7/8/2020,27.0
7/9/2020,28.0
7/10/2020,19.0
7/11/2020,20.0
7/12/2020,23.0
7/13/2020,26.0
7/14/2020,27.0
7/15/2020,31.0
7/16/2020,33.0
7/17/2020,39.0
7/18/2020,37.0
7/19/2020,21.0
7/20/2020,35.0
7/21/2020,51.0
7/22/2020,59.0
7/23/2020,52.0
7/24/2020,41.0
7/25/2020,20.0
7/26/2020,44.0
7/27/2020,42.0
7/28/2020,30.0
7/29/2020,34.0
7/30/2020,29.0
7/31/2020,31.0
8/1/2020,5.0
8/2/2020,18.0
8/3/2020,30.0
8/4/2020,42.0
8/5/2020,36.0
8/6/2020,28.0
8/7/2020,26.0
8/8/2020,14.0
8/9/2020,18.0
8/10/2020,18.0
8/11/2020,21.0
8/12/2020,20.0
8/13/2020,17.0
8/14/2020,10.0
8/15/2020,5.0
8/16/2020,20.0
8/17/2020,30.0
8/18/2020,29.0
8/19/2020,20.0
8/20/2020,16.0
8/21/2020,27.0
8/22/2020,4.0
8/23/2020,23.0
8/24/2020,23.0
8/25/2020,31.0
8/26/2020,21.0
8/27/2020,30.0
8/28/2020,22.0
8/29/2020,9.0
8/30/2020,28.0
8/31/2020,26.0
9/1/2020,27.0
9/2/2020,41.0
9/3/2020,33.0
9/4/2020,33.0
9/5/2020,20.0
9/6/2020,34.0
9/7/2020,36.0
9/8/2020,74.0
9/9/2020,83.0
9/10/2020,99.0
9/11/2020,75.0
9/12/2020,45.0
9/13/2020,89.0
9/14/2020,128.0
9/15/2020,124.0
9/16/2020,94.0
9/17/2020,138.0
9/18/2020,139.0
9/19/2020,120.0
9/20/2020,36.0
9/21/2020,86.0
9/22/2020,134.0
9/23/2020,123.0
9/24/2020,156.0
9/25/2020,139.0
9/26/2020,128.0
9/27/2020,94.0
9/28/2020,29.0
9/29/2020,94.0
9/30/2020,161.0
10/1/2020,151.0
10/2/2020,141.0
10/3/2020,63.0
10/4/2020,57.0
10/5/2020,97.0
10/6/2020,103.0
10/7/2020,55.0
10/8/2020,73.0
10/9/2020,55.0
10/10/2020,16.0
10/11/2020,35.0
10/12/2020,50.0
10/13/2020,40.0
10/14/2020,28.0
10/15/2020,24.0
10/16/2020,22.0
10/17/2020,4.0
10/18/2020,11.0
10/19/2020,21.0
10/20/2020,21.0
10/21/2020,18.0
10/22/2020,9.0
10/23/2020,11.0
10/24/2020,3.0
10/25/2020,8.0
10/26/2020,9.0
10/27/2020,3.0
10/28/2020,10.0
10/29/2020,9.0
10/30/2020,5.0
10/31/2020,1.0
11/1/2020,8.0
11/2/2020,12.0
11/3/2020,11.0
11/4/2020,11.0
11/5/2020,2.0
11/6/2020,2.0
11/7/2020,2.0
11/8/2020,23.0
11/9/2020,14.0
11/10/2020,7.0
11/11/2020,2.0
11/12/2020,21.0
11/13/2020,14.0
11/14/2020,14.0
11/15/2020,14.0
11/16/2020,9.0
11/17/2020,9.0
11/18/2020,9.0
11/19/2020,5.0
11/20/2020,6.0
11/21/2020,2.0
11/22/2020,13.0
11/23/2020,20.0
11/24/2020,15.0
11/25/2020,19.0
11/26/2020,10.0
11/27/2020,22.0
11/28/2020,13.0
11/29/2020,16.0
11/30/2020,19.0
12/1/2020,16.0
12/2/2020,15.0
12/3/2020,21.0
12/4/2020,10.0
12/5/2020,4.0
12/6/2020,31.0
12/7/2020,29.0
12/8/2020,41.0
12/9/2020,28.0
12/10/2020,35.0
12/11/2020,28.0
12/12/2020,18.0
12/13/2020,20.0
12/14/2020,33.0
12/15/2020,41.0
12/16/2020,37.0
12/17/2020,37.0
12/18/2020,41.0
12/19/2020,21.0
12/20/2020,57.0
12/21/2020,35.0
12/22/2020,60.0
12/23/2020,64.0
12/24/2020,44.0
12/25/2020,57.0
12/26/2020,32.0
12/27/2020,57.0
12/28/2020,72.0
12/29/2020,82.0
12/30/2020,80.0
12/31/2020,79.0
1/1/2021,77.0
1/2/2021,66.0
1/3/2021,86.0
1/4/2021,95.0
1/5/2021,97.0
1/6/2021,137.0
1/7/2021,117.0
1/8/2021,145.0
1/9/2021,76.0
1/10/2021,82.0
1/11/2021,125.0
1/12/2021,137.0
1/13/2021,116.0
1/14/2021,116.0
1/15/2021,127.0
1/16/2021,49.0
1/17/2021,89.0
1/18/2021,92.0
1/19/2021,134.0
1/20/2021,108.0
1/21/2021,111.0
1/22/2021,108.0
1/23/2021,62.0
1/24/2021,82.0
1/25/2021,125.0
1/26/2021,119.0
1/27/2021,149.0
1/28/2021,134.0
1/29/2021,151.0
1/30/2021,55.0
1/31/2021,107.0
2/1/2021,164.0
2/2/2021,160.0
2/3/2021,136.0
2/4/2021,167.0
2/5/2021,138.0
2/6/2021,49.0
